Match,Team,Bowler Name,Overs,Maidens,Runs Conceded,Economy,0s,4s,6s,WD,NB
22,Afghanistan,Naveen-ul-Haq,7.0,0,52,7.42,22,4,3,3,0
22,Afghanistan,Mujeeb Ur Rahman,8.0,0,55,6.87,20,5,2,0,0
22,Afghanistan,Mohammad Nabi,10.0,0,31,3.1,37,2,0,0,0
22,Afghanistan,Azmatullah Omarzai,5.0,0,50,10.0,9,4,2,3,0
22,Afghanistan,Rashid Khan,10.0,0,41,4.1,30,1,1,0,0
22,Afghanistan,Noor Ahmad,10.0,0,49,4.9,27,1,1,4,1
22,Pakistan,Shaheen Shah Afridi,10.0,0,58,5.8,27,5,0,2,0
22,Pakistan,Hasan Ali,10.0,1,44,4.4,42,4,2,1,0
22,Pakistan,Haris Rauf,8.0,1,53,6.62,19,6,0,3,0
22,Pakistan,Usama Mir,8.0,0,55,6.87,19,6,0,2,1
22,Pakistan,Shadab Khan,8.0,0,49,6.12,22,6,0,0,0
22,Pakistan,Iftikhar Ahmed,5.0,0,27,5.4,15,1,1,0,0
23,Bangladesh,Mustafizur Rahman,9.0,0,76,8.44,15,7,2,2,0
23,Bangladesh,Mehidy Hasan Miraz,9.0,0,44,4.88,29,3,1,2,0
23,Bangladesh,Shoriful Islam,9.0,0,76,8.44,19,6,4,0,0
23,Bangladesh,Shakib Al Hasan,9.0,0,69,7.66,24,5,4,1,0
23,Bangladesh,Hasan Mahmud,6.0,0,67,11.16,12,3,6,1,0
23,Bangladesh,Nasum Ahmed,5.0,0,27,5.4,11,1,1,0,0
23,Bangladesh,Mahmudullah,3.0,0,20,6.66,7,1,1,1,0
23,South Africa,Marco Jansen,8.0,0,39,4.87,34,5,0,5,0
23,South Africa,Lizaad Williams,8.4,1,56,6.46,33,7,2,5,0
23,South Africa,Gerald Coetzee,10.0,0,62,6.2,36,8,2,1,1
23,South Africa,Kagiso Rabada,10.0,1,42,4.2,36,3,1,0,1
23,South Africa,Keshav Maharaj,10.0,0,32,3.2,36,2,0,1,0
24,Netherlands,Aryan Dutt,7.0,0,59,8.42,17,9,1,0,0
24,Netherlands,Colin Ackermann,4.0,0,19,4.75,10,0,1,0,0
24,Netherlands,Logan van Beek,10.0,0,74,7.4,31,7,3,5,0
24,Netherlands,Paul van Meekeren,10.0,0,64,6.4,29,7,1,3,0
24,Netherlands,Vikramjit Singh,4.0,0,27,6.75,13,3,1,1,0
24,Netherlands,Roelof van der Merwe,5.0,0,41,8.2,11,3,2,1,0
24,Netherlands,Bas de Leede,10.0,0,115,11.5,20,13,6,1,1
24,Australia,Mitchell Starc,4.0,0,22,5.5,19,5,0,2,0
24,Australia,Josh Hazlewood,6.0,0,27,4.5,25,4,0,2,0
24,Australia,Pat Cummins,4.0,0,14,3.5,16,2,0,0,0
24,Australia,Mitchell Marsh,4.0,0,19,4.75,15,2,0,3,0
24,Australia,Adam Zampa,3.0,0,8,2.66,10,0,0,0,0
25,Sri Lanka,Dilshan Madushanka,5.0,0,37,7.4,18,7,0,0,0
25,Sri Lanka,Kasun Rajitha,7.0,0,36,5.14,25,5,0,1,0
25,Sri Lanka,Maheesh Theekshana,8.2,1,21,2.52,36,1,0,3,0
25,Sri Lanka,Angelo Mathews,5.0,1,14,2.8,17,0,0,0,0
25,Sri Lanka,Lahiru Kumara,7.0,0,35,5.0,25,4,1,0,0
25,Sri Lanka,Dhananjaya de Silva,1.0,0,10,10.0,2,2,0,0,0
25,England,Chris Woakes,6.0,0,30,5.0,21,4,0,2,0
25,England,David Willey,5.0,0,30,6.0,18,5,0,1,0
