Match,Team,Bowler Name,Overs,Maidens,Runs Conceded,Economy,0s,4s,6s,WD,NB
14,Australia,Mitchell Starc,10.0,0.0,43.0,4.3,37.0,5.0,0.0,4.0,0.0
14,Australia,Josh Hazlewood,7.0,1.0,36.0,5.14,28.0,6.0,0.0,1.0,0.0
14,Australia,Pat Cummins,7.0,0.0,32.0,4.57,24.0,4.0,0.0,1.0,0.0
14,Australia,Glenn Maxwell,9.3,0.0,36.0,3.78,30.0,2.0,0.0,1.0,0.0
14,Australia,Adam Zampa,8.0,1.0,47.0,5.87,26.0,5.0,1.0,2.0,0.0
14,Australia,Marcus Stoinis,2.0,0.0,11.0,5.5,5.0,1.0,0.0,0.0,0.0
14,Sri Lanka,Lahiru Kumara,4.0,0.0,47.0,11.75,8.0,5.0,2.0,0.0,0.0
14,Sri Lanka,Dilshan Madushanka,9.0,2.0,38.0,4.22,34.0,5.0,0.0,1.0,0.0
14,Sri Lanka,Maheesh Theekshana,7.0,0.0,49.0,7.0,19.0,5.0,2.0,0.0,0.0
14,Sri Lanka,Dunith Wellalage,9.2,0.0,53.0,5.67,29.0,6.0,1.0,0.0,0.0
14,Sri Lanka,Chamika Karunaratne,3.0,0.0,15.0,5.0,9.0,1.0,0.0,2.0,0.0
14,Sri Lanka,Dhananjaya de Silva,3.0,0.0,13.0,4.33,8.0,0.0,0.0,0.0,0.0
15,South Africa,Lungi Ngidi,9.0,1.0,57.0,6.33,31.0,5.0,1.0,6.0,1.0
15,South Africa,Marco Jansen,8.0,1.0,27.0,3.37,36.0,3.0,0.0,6.0,0.0
15,South Africa,Kagiso Rabada,9.0,1.0,56.0,6.22,30.0,5.0,2.0,3.0,0.0
15,South Africa,Gerald Coetzee,8.0,0.0,57.0,7.12,25.0,5.0,3.0,2.0,0.0
15,South Africa,Keshav Maharaj,9.0,0.0,38.0,4.22,34.0,5.0,0.0,0.0,0.0
15,Netherlands,Aryan Dutt,5.0,1.0,19.0,3.8,21.0,3.0,0.0,0.0,0.0
15,Netherlands,Logan van Beek,8.5,0.0,60.0,6.79,30.0,7.0,2.0,1.0,1.0
15,Netherlands,Colin Ackermann,3.0,0.0,16.0,5.33,13.0,2.0,1.0,0.0,0.0
15,Netherlands,Paul van Meekeren,9.0,0.0,40.0,4.44,33.0,4.0,1.0,0.0,0.0
15,Netherlands,Roelof van der Merwe,9.0,0.0,34.0,3.77,29.0,1.0,1.0,0.0,0.0
15,Netherlands,Bas de Leede,8.0,0.0,36.0,4.5,28.0,3.0,0.0,4.0,0.0
16,Afghanistan,Mujeeb Ur Rahman,10.0,0.0,57.0,5.7,32.0,4.0,2.0,1.0,0.0
16,Afghanistan,Fazalhaq Farooqi,7.0,1.0,39.0,5.57,23.0,2.0,2.0,2.0,0.0
16,Afghanistan,Naveen-ul-Haq,8.0,0.0,48.0,6.0,17.0,4.0,0.0,0.0,0.0
16,Afghanistan,Mohammad Nabi,8.0,1.0,41.0,5.12,30.0,1.0,4.0,0.0,0.0
16,Afghanistan,Rashid Khan,10.0,0.0,43.0,4.3,35.0,4.0,0.0,2.0,0.0
16,Afghanistan,Azmatullah Omarzai,7.0,0.0,56.0,8.0,17.0,4.0,3.0,0.0,1.0
16,New Zealand,Trent Boult,7.0,1.0,18.0,2.57,32.0,1.0,0.0,2.0,0.0
16,New Zealand,Matt Henry,5.0,2.0,16.0,3.2,22.0,1.0,1.0,0.0,0.0
16,New Zealand,Mitchell Santner,7.4,0.0,39.0,5.08,24.0,3.0,1.0,1.0,0.0
16,New Zealand,Lockie Ferguson,7.0,1.0,19.0,2.71,32.0,2.0,0.0,1.0,0.0
16,New Zealand,Glenn Phillips,3.0,0.0,13.0,4.33,7.0,0.0,0.0,1.0,0.0
16,New Zealand,Rachin Ravindra,5.0,0.0,34.0,6.8,11.0,4.0,0.0,0.0,0.0
17,India,Jasprit Bumrah,10.0,1.0,41.0,4.1,39.0,2.0,2.0,1.0,0.0
17,India,Mohammed Siraj,10.0,0.0,60.0,6.0,34.0,8.0,1.0,3.0,0.0
17,India,Hardik Pandya,0.3,0.0,8.0,16.0,1.0,2.0,0.0,0.0,0.0
17,India,Virat Kohli,0.3,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0
17,India,Shardul Thakur,9.0,0.0,59.0,6.55,23.0,3.0,3.0,0.0,0.0
17,India,Kuldeep Yadav,10.0,0.0,47.0,4.7,25.0,1.0,1.0,1.0,0.0
17,India,Ravindra Jadeja,10.0,0.0,38.0,3.8,36.0,2.0,1.0,0.0,0.0
17,Bangladesh,Shoriful Islam,8.0,0.0,54.0,6.75,25.0,6.0,2.0,0.0,0.0
17,Bangladesh,Mustafizur Rahman,5.0,0.0,29.0,5.8,17.0,5.0,0.0,0.0,0.0
17,Bangladesh,Nasum Ahmed,9.3,0.0,60.0,6.31,30.0,4.0,4.0,0.0,0.0
17,Bangladesh,Hasan Mahmud,8.0,0.0,65.0,8.12,22.0,5.0,3.0,1.0,2.0
17,Bangladesh,Mehidy Hasan Miraz,10.0,0.0,47.0,4.7,24.0,3.0,0.0,1.0,0.0
17,Bangladesh,Mahmudullah,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
18,Pakistan,Shaheen Shah Afridi,10.0,1.0,54.0,5.4,39.0,4.0,3.0,3.0,0.0
18,Pakistan,Hasan Ali,8.0,0.0,57.0,7.12,26.0,4.0,3.0,3.0,0.0
18,Pakistan,Iftikhar Ahmed,8.0,0.0,37.0,4.62,30.0,4.0,1.0,2.0,0.0
18,Pakistan,Haris Rauf,8.0,0.0,83.0,10.37,18.0,8.0,5.0,3.0,0.0
18,Pakistan,Usama Mir,9.0,0.0,82.0,9.11,19.0,6.0,5.0,2.0,0.0
18,Pakistan,Mohammad Nawaz,7.0,0.0,43.0,6.14,20.0,3.0,2.0,0.0,0.0
18,Australia,Mitchell Starc,8.0,0.0,65.0,8.12,22.0,10.0,0.0,6.0,0.0
18,Australia,Josh Hazlewood,10.0,1.0,37.0,3.7,40.0,5.0,0.0,1.0,0.0
18,Australia,Pat Cummins,7.3,0.0,62.0,8.26,22.0,6.0,4.0,0.0,0.0
18,Australia,Adam Zampa,10.0,0.0,53.0,5.3,25.0,3.0,1.0,1.0,0.0
18,Australia,Glenn Maxwell,5.0,0.0,40.0,8.0,10.0,6.0,0.0,0.0,0.0
18,Australia,Marcus Stoinis,5.0,0.0,40.0,8.0,10.0,4.0,1.0,3.0,0.0
19,Sri Lanka,Dilshan Madushanka,9.4,1.0,49.0,5.06,33.0,4.0,0.0,3.0,1.0
