Match,Team,Batting_1_name,Batting_1_runs,Batting_1_balls,Batting_1_4s,Batting_1_6s,Batting_1_strike_rate,Batting_2_name,Batting_2_runs,Batting_2_balls,Batting_2_4s,Batting_2_6s,Batting_2_strike_rate,Batting_3_name,Batting_3_runs,Batting_3_balls,Batting_3_4s,Batting_3_6s,Batting_3_strike_rate,Batting_4_name,Batting_4_runs,Batting_4_balls,Batting_4_4s,Batting_4_6s,Batting_4_strike_rate,Batting_5_name,Batting_5_runs,Batting_5_balls,Batting_5_4s,Batting_5_6s,Batting_5_strike_rate,Batting_6_name,Batting_6_runs,Batting_6_balls,Batting_6_4s,Batting_6_6s,Batting_6_strike_rate,Batting_7_name,Batting_7_runs,Batting_7_balls,Batting_7_4s,Batting_7_6s,Batting_7_strike_rate,Batting_8_name,Batting_8_runs,Batting_8_balls,Batting_8_4s,Batting_8_6s,Batting_8_strike_rate,Batting_9_name,Batting_9_runs,Batting_9_balls,Batting_9_4s,Batting_9_6s,Batting_9_strike_rate,Batting_10_name,Batting_10_runs,Batting_10_balls,Batting_10_4s,Batting_10_6s,Batting_10_strike_rate,Batting_11_name,Batting_11_runs,Batting_11_balls,Batting_11_4s,Batting_11_6s,Batting_11_strike_rate
18,Australia,David Warner ,163,124,14,9,131.45,Mitchell Marsh ,121,108,10,9,112.03,Glenn Maxwell ,0,1,0,0,0.00,Steven Smith ,7,9,0,0,77.77,Marcus Stoinis ,21,24,1,1,87.50,Josh Inglis †,13,9,3,0,144.44,Marnus Labuschagne ,8,12,1,0,66.66,Pat Cummins (c),6,8,0,0,75.00,Mitchell Starc ,2,3,0,0,66.66,Josh Hazlewood ,0,1,0,0,0.00,Adam Zampa ,1,1,0,0,100.00
18,Pakistan,Abdullah Shafique ,64,61,7,2,104.91,Imam-ul-Haq ,70,71,10,0,98.59,Babar Azam (c),18,14,3,0,128.57,Mohammad Rizwan †,46,40,5,0,115.00,Saud Shakeel ,30,31,5,0,96.77,Iftikhar Ahmed ,26,20,0,3,130.00,Mohammad Nawaz ,14,16,0,1,87.50,Usama Mir ,0,3,0,0,0.00,Shaheen Shah Afridi ,10,8,2,0,125.00,Hasan Ali ,8,8,2,0,100.00,Haris Rauf ,0,1,0,0,0.00
19,Netherlands,Vikramjit Singh ,4,13,1,0,30.76,Max O'Dowd ,16,27,1,1,59.25,Colin Ackermann ,29,31,5,0,93.54,Bas de Leede ,6,21,0,0,28.57,Teja Nidamanuru ,9,16,0,0,56.25,Scott Edwards (c)†,16,16,0,0,100.00,Sybrand Engelbrecht ,70,82,4,1,85.36,Logan van Beek ,59,75,1,1,78.66,Roelof van der Merwe ,7,7,0,0,100.00,Aryan Dutt ,9,6,1,0,150.00,Paul van Meekeren ,4,5,0,0,80.00
19,Sri Lanka,Pathum Nissanka ,54,52,9,0,103.84,Kusal Perera ,5,8,1,0,62.50,Kusal Mendis (c)†,11,17,2,0,64.70,Sadeera Samarawickrama ,91,107,7,0,85.04,Charith Asalanka ,44,66,2,1,66.66,Dhananjaya de Silva ,30,37,1,2,81.08,Dushan Hemantha ,4,3,1,0,133.33,,,,,,,,,,,,,,,,,,,,,,,,
20,South Africa,Quinton de Kock †,4,2,1,0,200.00,Reeza Hendricks ,85,75,9,3,113.33,Rassie van der Dussen ,60,61,8,0,98.36,Aiden Markram (c),42,44,4,0,95.45,Heinrich Klaasen ,109,67,12,4,162.68,David Miller ,5,6,1,0,83.33,Marco Jansen ,75,42,3,6,178.57,Gerald Coetzee ,3,3,0,0,100.00,Keshav Maharaj ,1,1,0,0,100.00,,,,,,,,,,,,
20,England,Jonny Bairstow ,10,12,1,1,83.33,Dawid Malan ,6,11,1,0,54.54,Joe Root ,2,6,0,0,33.33,Ben Stokes ,5,8,1,0,62.50,Harry Brook ,17,25,2,1,68.00,Jos Buttler (c)†,15,7,2,1,214.28,David Willey ,12,12,1,1,100.00,Adil Rashid ,10,14,1,0,71.42,Gus Atkinson ,35,21,7,0,166.66,Mark Wood ,43,17,2,5,252.94,Reece Topley ,-,-,-,-,-
21,New Zealand,Devon Conway ,0,9,0,0,0.00,Will Young ,17,27,3,0,62.96,Rachin Ravindra ,75,87,6,1,86.20,Daryl Mitchell ,130,127,9,5,102.36,Tom Latham (c)†,5,7,1,0,71.42,Glenn Phillips ,23,26,0,1,88.46,Mark Chapman ,6,8,0,0,75.00,Mitchell Santner ,1,2,0,0,50.00,Matt Henry ,0,1,0,0,0.00,Lockie Ferguson ,1,5,0,0,20.00,Trent Boult ,0,1,0,0,0.00
21,India,Rohit Sharma (c),46,40,4,4,115.00,Shubman Gill ,26,31,5,0,83.87,Virat Kohli ,95,104,8,2,91.34,Shreyas Iyer ,33,29,6,0,113.79,KL Rahul †,27,35,3,0,77.14,Suryakumar Yadav ,2,4,0,0,50.00,Ravindra Jadeja ,39,44,3,1,88.63,Mohammed Shami ,1,1,0,0,100.00,,,,,,,,,,,,,,,,,,
22,Pakistan,Abdullah Shafique ,58,75,5,2,77.33,Imam-ul-Haq ,17,22,2,0,77.27,Babar Azam (c),74,92,4,1,80.43,Mohammad Rizwan †,8,10,0,1,80.00,Saud Shakeel ,25,34,3,0,73.52,Shadab Khan ,40,38,1,1,105.26,Iftikhar Ahmed ,40,27,2,4,148.14,Shaheen Shah Afridi ,3,3,0,0,100.00,,,,,,,,,,,,,,,,,,
22,Afghanistan,Rahmanullah Gurbaz ,65,53,9,1,122.64,Ibrahim Zadran ,87,113,10,0,76.99,Rahmat Shah ,77,84,5,2,91.66,Hashmatullah Shahidi (c),48,45,4,0,106.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,South Africa,Quinton de Kock †,174,140,15,7,124.28,Reeza Hendricks ,12,19,1,0,63.15,Rassie van der Dussen ,1,7,0,0,14.28,Aiden Markram (c),60,69,7,0,86.95,Heinrich Klaasen ,90,49,2,8,183.67,David Miller ,34,15,1,4,226.66,Marco Jansen ,1,1,0,0,100.00,,,,,,,,,,,,,,,,,,,,,,,,
